work,artistURI,artistName,year_work,year_birth,artist_age,movement
https://artresearch.net/resource/frick/work/991004358789707141,http://vocab.getty.edu/ulan/500115509,Eugène Delacroix,1818,1798,20,Romanticism
https://artresearch.net/resource/frick/work/991005469479707141,http://vocab.getty.edu/ulan/500069087,Arthur Armstrong,1818,1798,20,
https://artresearch.net/resource/frick/work/991004004259707141,http://vocab.getty.edu/ulan/500115562,Théodore Géricault,1818,1791,27,Romanticism
https://artresearch.net/resource/frick/work/991001216709707141,http://vocab.getty.edu/ulan/500000162,Ethan Allen Greenwood,1818,1779,39,
https://artresearch.net/resource/frick/work/991004358609707141,http://vocab.getty.edu/ulan/500115509,Eugène Delacroix,1818,1798,20,Romanticism
https://artresearch.net/resource/frick/work/991013220479707141,http://vocab.getty.edu/ulan/500022039,Auguste-Xavier Leprince,1819,1799,20,
https://artresearch.net/resource/frick/work/991008092829707141,http://vocab.getty.edu/ulan/500017044,Titian Peale,1819,1799,20,Volcano school
https://artresearch.net/resource/frick/work/991005326079707141,http://vocab.getty.edu/ulan/500011741,Karl Bryullov,1819,1799,20,Romanticism
https://artresearch.net/resource/frick/work/991004620629707141,http://vocab.getty.edu/ulan/500001550,Francis Alexander,1820,1800,20,
https://artresearch.net/resource/frick/work/991002336279707141,http://vocab.getty.edu/ulan/500017209,Frank Stone,1820,1800,20,
https://artresearch.net/resource/frick/work/991004762229707141,http://vocab.getty.edu/ulan/500001550,Francis Alexander,1820,1800,20,
https://artresearch.net/resource/frick/work/991013323289707141,http://vocab.getty.edu/ulan/500010118,Sarah Miriam Peale,1820,1800,20,
https://artresearch.net/resource/frick/work/991008628709707141,http://vocab.getty.edu/ulan/500010118,Sarah Miriam Peale,1820,1800,20,
https://artresearch.net/resource/frick/work/991002599059707141,http://www.wikidata.org/entity/Q21466509,William Stewart Watson,1820,1800,20,
https://artresearch.net/resource/frick/work/991013242909707141,http://vocab.getty.edu/ulan/500028323,Thomas Cole,1821,1801,20,Hudson river school
https://artresearch.net/resource/frick/work/991007505859707141,http://vocab.getty.edu/ulan/500021656,Henry Inman,1821,1801,20,Academic art
https://artresearch.net/resource/frick/work/991007504909707141,http://vocab.getty.edu/ulan/500021656,Henry Inman,1821,1801,20,Academic art
https://artresearch.net/resource/frick/work/991001681369707141,http://vocab.getty.edu/ulan/500017958,James Giles,1821,1801,20,
https://artresearch.net/resource/frick/work/991008574079707141,http://vocab.getty.edu/ulan/500062405,Nathan Negus,1821,1801,20,
