work,artistURI,artistName,year_work,year_birth,artist_age,movement
https://artresearch.net/resource/frick/work/991002547519707141,http://vocab.getty.edu/ulan/500121036,David Wilkie,1805,1785,20,
https://artresearch.net/resource/frick/work/991006781449707141,http://vocab.getty.edu/ulan/500016578,John James Audubon,1805,1785,20,Naturalism
https://artresearch.net/resource/frick/work/991006781449707141,http://vocab.getty.edu/ulan/500016578,John James Audubon,1805,1785,20,naturalism
https://artresearch.net/resource/frick/work/991004739269707141,http://vocab.getty.edu/ulan/500019609,,1805,,,
https://artresearch.net/resource/frick/work/991002547269707141,http://vocab.getty.edu/ulan/500121036,David Wilkie,1805,1785,20,
https://artresearch.net/resource/frick/work/991004787369707141,https://artresearch.net/resource/frick/actor/drolling_michael_martin1786_1851,,1806,,,
https://artresearch.net/resource/frick/work/991002215729707141,http://vocab.getty.edu/ulan/500015705,William Mulready,1806,1786,20,
https://artresearch.net/resource/frick/work/991001480379707141,http://vocab.getty.edu/ulan/500115284,William Etty,1807,1787,20,
https://artresearch.net/resource/frick/work/991013126969707141,http://vocab.getty.edu/ulan/500024668,Tommaso Minardi,1807,1787,20,
https://artresearch.net/resource/frick/work/991005172599707141,http://www.wikidata.org/entity/Q109676533,John Delamater,1807,1787,20,
https://artresearch.net/resource/frick/work/991001482219707141,http://vocab.getty.edu/ulan/500115284,William Etty,1807,1787,20,
https://artresearch.net/resource/frick/work/991001480519707141,http://vocab.getty.edu/ulan/500115284,William Etty,1807,1787,20,
https://artresearch.net/resource/frick/work/991007906049707141,http://vocab.getty.edu/ulan/500017628,Matthew Harris Jouett,1807,1788,19,
https://artresearch.net/resource/frick/work/991007906089707141,http://vocab.getty.edu/ulan/500017628,Matthew Harris Jouett,1807,1788,19,
https://artresearch.net/resource/frick/work/991001466919707141,http://vocab.getty.edu/ulan/500126029,Caroline Lucy Scott,1807,1784,23,
https://artresearch.net/resource/frick/work/991013624009507141,http://vocab.getty.edu/ulan/500005417,Patrick Nasmyth,1807,1787,20,realism
https://artresearch.net/resource/frick/work/991013624009507141,http://vocab.getty.edu/ulan/500005417,Patrick Nasmyth,1807,1787,20,Realism
https://artresearch.net/resource/frick/work/991003430009707141,http://vocab.getty.edu/ulan/500019620,Johann Friedrich Overbeck,1807,1789,18,Neoclassicism
https://artresearch.net/resource/frick/work/991003430009707141,http://vocab.getty.edu/ulan/500019620,Johann Friedrich Overbeck,1807,1789,18,neoclassicism
https://artresearch.net/resource/frick/work/991003430009707141,http://vocab.getty.edu/ulan/500019620,Johann Friedrich Overbeck,1807,1789,18,Nazarene movement
https://artresearch.net/resource/frick/work/991005450899707141,http://vocab.getty.edu/ulan/500022221,Sarah Goodridge,1808,1788,20,
